symbol,side,is_reverse,pnl,hit_tp1,hit_tp2,avg_added,risk_pct,units,pnl_usd,entry_ts,exit_ts,hold,exit_type,month,period
SOLUSDT,LONG,False,0.0036605009153893127,True,False,True,0.0017056495882106545,5.8629,21.461,1609468200.0,1609468920.0,4,trailing_after_tp1,2021-01,2021
NEARUSDT,LONG,False,0.03744100720006896,True,True,True,0.0020749526566029805,4.8194,180.4427,1609468200.0,1609468920.0,4,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.013614354129453108,True,False,True,0.00347592952903201,2.8769,39.1675,1609483500.0,1609484940.0,8,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.002759516142195573,False,False,False,0.002359516142195573,4.2382,-11.6953,1609487100.0,1609487280.0,1,sl_before_tp1,2021-01,2021
NEARUSDT,LONG,False,0.018073382088534134,True,False,True,0.0032104430529327653,3.1148,56.2956,1609487280.0,1609488360.0,6,trailing_after_tp1,2021-01,2021
NEARUSDT,LONG,False,-0.00364525280279782,False,False,False,0.0032452528027978197,3.0814,-11.2326,1609496460.0,1609496640.0,1,sl_before_tp1,2021-01,2021
NEARUSDT,LONG,False,0.008712402573107233,True,False,False,0.0015301627536747425,6.5353,56.9378,1609497180.0,1609498440.0,7,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.004399443855687348,False,False,False,0.0039994438556873475,2.5003,-11.0001,1609500060.0,1609500240.0,1,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,-0.011024296755792631,False,False,True,0.004363086264708521,2.292,-25.2672,1609503120.0,1609504020.0,5,sl_before_tp1,2021-01,2021
SOLUSDT,LONG,False,0.007638930179613305,True,False,False,0.0043893443687395,2.2782,17.4034,1609507980.0,1609509420.0,8,trailing_after_tp1,2021-01,2021
SOLUSDT,LONG,False,0.015346407797097589,True,False,False,0.0018011020529787216,5.5522,85.2057,1609511040.0,1609511940.0,5,trailing_after_tp1,2021-01,2021
